Heart Rate,Activity,Activity Label
74,Cold Pressor,1
73,Cold Pressor,1
74,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
75,Cold Pressor,1
74,Cold Pressor,1
73,Cold Pressor,1
74,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
74,Cold Pressor,1
73,Cold Pressor,1
73,Cold Pressor,1
73,Cold Pressor,1
72,Cold Pressor,1
71,Cold Pressor,1
72,Cold Pressor,1
74,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
76,Cold Pressor,1
76,Cold Pressor,1
75,Cold Pressor,1
76,Cold Pressor,1
75,Cold Pressor,1
86,Cold Pressor,1
85,Cold Pressor,1
86,Cold Pressor,1
85,Cold Pressor,1
83,Cold Pressor,1
89,Cold Pressor,1
88,Cold Pressor,1
87,Cold Pressor,1
75,Check emails,2
76,Check emails,2
77,Check emails,2
78,Check emails,2
79,Check emails,2
80,Check emails,2
78,Check emails,2
76,Check emails,2
74,Check emails,2
70,Check emails,2
67,Check emails,2
63,Check emails,2
59,Check emails,2
61,Check emails,2
62,Check emails,2
61,Check emails,2
60,Check emails,2
59,Check emails,2
58,Check emails,2
57,Check emails,2
59,Check emails,2
62,Check emails,2
65,Check emails,2
67,Check emails,2
71,Check emails,2
72,Check emails,2
71,Check emails,2
70,Check emails,2
70,Check emails,2
75,Check emails,2
75,Check emails,2
74,Check emails,2
75,Check emails,2
76,Check emails,2
74,Check emails,2
72,Check emails,2
70,Check emails,2
66,Check emails,2
70,Check emails,2
67,Check emails,2
70,Check emails,2
69,Check emails,2
69,Check emails,2
70,Check emails,2
71,Check emails,2
72,Check emails,2
73,Check emails,2
74,Check emails,2
73,Check emails,2
72,Check emails,2
73,Check emails,2
79,Eating,3
79,Eating,3
79,Eating,3
78,Eating,3
78,Eating,3
77,Eating,3
76,Eating,3
75,Eating,3
74,Eating,3
73,Eating,3
72,Eating,3
78,Eating,3
79,Eating,3
79,Eating,3
67,Eating,3
67,Eating,3
66,Eating,3
65,Eating,3
65,Eating,3
65,Eating,3
64,Eating,3
64,Eating,3
63,Eating,3
57,Eating,3
59,Eating,3
60,Eating,3
61,Eating,3
62,Eating,3
64,Eating,3
64,Eating,3
65,Eating,3
58,Eating,3
62,Eating,3
72,Eating,3
70,Eating,3
63,Eating,3
67,Eating,3
68,Eating,3
69,Eating,3
70,Eating,3
69,Eating,3
70,Eating,3
71,Eating,3
72,Eating,3
73,Eating,3
74,Eating,3
75,Eating,3
68,Social conversation,4
73,Social conversation,4
74,Social conversation,4
73,Social conversation,4
72,Social conversation,4
73,Social conversation,4
74,Social conversation,4
75,Social conversation,4
74,Social conversation,4
75,Social conversation,4
75,Social conversation,4
57,Social conversation,4
58,Social conversation,4
57,Social conversation,4
57,Social conversation,4
56,Social conversation,4
57,Social conversation,4
58,Social conversation,4
57,Social conversation,4
58,Social conversation,4
60,Social conversation,4
61,Social conversation,4
60,Social conversation,4
61,Social conversation,4
63,Social conversation,4
64,Social conversation,4
63,Social conversation,4
64,Social conversation,4
63,Social conversation,4
61,Social conversation,4
63,Social conversation,4
60,Social conversation,4
65,Social conversation,4
64,Social conversation,4
63,Social conversation,4
62,Social conversation,4
61,Social conversation,4
60,Social conversation,4
59,Social conversation,4
58,Social conversation,4
57,Social conversation,4
56,Social conversation,4
55,Social conversation,4
57,Social conversation,4
61,Social conversation,4
70,Social conversation,4
71,Social conversation,4
74,Social conversation,4
76,Social conversation,4
75,Social conversation,4
75,Social conversation,4
70,Social conversation,4
70,Social conversation,4
79,Social conversation,4
78,Sing-a-song,5
81,Sing-a-song,5
83,Sing-a-song,5
82,Sing-a-song,5
82,Sing-a-song,5
82,Sing-a-song,5
85,Sing-a-song,5
83,Sing-a-song,5
84,Sing-a-song,5
85,Sing-a-song,5
82,Sing-a-song,5
80,Sing-a-song,5
79,Sing-a-song,5
81,Sing-a-song,5
80,Sing-a-song,5
86,Sing-a-song,5
83,Sing-a-song,5
85,Sing-a-song,5
75,Sing-a-song,5
73,Sing-a-song,5
73,Sing-a-song,5
71,Sing-a-song,5
77,Sing-a-song,5
78,Sing-a-song,5
77,Sing-a-song,5
72,Sing-a-song,5
73,Sing-a-song,5
74,Sing-a-song,5
70,Sing-a-song,5
70,Sing-a-song,5
79,Sing-a-song,5
78,Sing-a-song,5
77,Sing-a-song,5
76,Sing-a-song,5
76,Sing-a-song,5
76,Sing-a-song,5
77,Sing-a-song,5
78,Sing-a-song,5
72,Sing-a-song,5
76,Sing-a-song,5
77,Sing-a-song,5
76,Sing-a-song,5
77,Sing-a-song,5
79,Sing-a-song,5
72,Sing-a-song,5
73,Sing-a-song,5
74,Sing-a-song,5
73,Stroop Test,6
70,Stroop Test,6
71,Stroop Test,6
70,Stroop Test,6
79,Stroop Test,6
79,Stroop Test,6
76,Stroop Test,6
79,Stroop Test,6
70,Stroop Test,6
79,Stroop Test,6
78,Stroop Test,6
71,Stroop Test,6
70,Stroop Test,6
78,Stroop Test,6
70,Stroop Test,6
79,Stroop Test,6
77,Stroop Test,6
79,Stroop Test,6
78,Stroop Test,6
77,Stroop Test,6
76,Stroop Test,6
77,Stroop Test,6
76,Stroop Test,6
77,Stroop Test,6
78,Stroop Test,6
71,Stroop Test,6
75,Stroop Test,6
78,Stroop Test,6
76,Stroop Test,6
79,Stroop Test,6
74,Stroop Test,6
75,Stroop Test,6
87,Stroop Test,6
74,Game,7
74,Game,7
75,Game,7
74,Game,7
75,Game,7
76,Game,7
75,Game,7
76,Game,7
75,Game,7
76,Game,7
75,Game,7
75,Game,7
75,Game,7
76,Game,7
77,Game,7
78,Game,7
79,Game,7
79,Game,7
79,Game,7
78,Game,7
75,Game,7
74,Game,7
72,Game,7
72,Game,7
72,Game,7
73,Game,7
75,Game,7
75,Game,7
76,Game,7
75,Game,7
76,Game,7
75,Game,7
76,Game,7
75,Game,7
76,Game,7
76,Game,7
75,Game,7
74,Game,7
72,Game,7
71,Game,7
72,Game,7
71,Game,7
70,Game,7
69,Game,7
68,Game,7
73,Game,7
70,Game,7
74,Game,7
73,Game,7
74,Game,7
73,Game,7
73,Game,7
74,Game,7
75,Game,7
75,Game,7
75,Game,7
75,Game,7
74,Game,7
73,Game,7
75,Game,7
74,Game,7
75,Game,7
77,Game,7
78,Game,7
76,Game,7
76,Game,7
76,Game,7
75,Game,7
79,Arithmetic,8
78,Arithmetic,8
79,Arithmetic,8
79,Arithmetic,8
78,Arithmetic,8
77,Arithmetic,8
76,Arithmetic,8
75,Arithmetic,8
76,Arithmetic,8
76,Arithmetic,8
75,Arithmetic,8
75,Arithmetic,8
75,Arithmetic,8
60,Arithmetic,8
63,Arithmetic,8
62,Arithmetic,8
66,Arithmetic,8
67,Arithmetic,8
68,Arithmetic,8
69,Arithmetic,8
70,Arithmetic,8
67,Arithmetic,8
68,Arithmetic,8
69,Arithmetic,8
74,Arithmetic,8
79,Arithmetic,8
74,Arithmetic,8
75,Arithmetic,8
76,Arithmetic,8
75,Arithmetic,8
76,Arithmetic,8
75,Arithmetic,8
76,Arithmetic,8
77,Arithmetic,8
78,Arithmetic,8
79,Arithmetic,8
78,Arithmetic,8
77,Arithmetic,8
76,Arithmetic,8
73,Arithmetic,8
72,Arithmetic,8
71,Arithmetic,8
72,Arithmetic,8
73,Arithmetic,8
72,Arithmetic,8
73,Arithmetic,8
76,Arithmetic,8
80,Arithmetic,8
86,Arithmetic,8
87,Arithmetic,8
80,Arithmetic,8
82,Arithmetic,8
86,Arithmetic,8
89,Arithmetic,8
90,Arithmetic,8
91,Arithmetic,8
92,Arithmetic,8
91,Arithmetic,8
95,Arithmetic,8
85,Arithmetic,8
75,Arithmetic,8
65,Arithmetic,8
66,Arithmetic,8
67,Arithmetic,8
68,Arithmetic,8
72,Arithmetic,8
73,Arithmetic,8
74,Arithmetic,8
75,Arithmetic,8
75,Rest,9
71,Rest,9
66,Rest,9
67,Rest,9
67,Rest,9
66,Rest,9
65,Rest,9
65,Rest,9
66,Rest,9
65,Rest,9
